name,price,dim_Length (mm),dim_Width (mm),dim_Height (mm),dim_Wheel Base (mm),dim_Ground Clearance (mm),dim_Fuel Tank Capacity (L),dim_Luggage Capacity (L),fuel_eng_Engine Capacity (L),fuel_eng_Max Power (hp/rpm),fuel_eng_Max Torque (nm/rpm),fuel_eng_Transmission,fuel_eng_Driving Range (km),dim_Cargo Volume (L) - VDA,dim_Luggage Capacity VDA (L),ev_perf_Max Speed (km/hr.),ev_perf_0 To 100 (Sec.),ev_perf_Driving Range (km) - Up to,"ev_perf_Fast Charge (10%-80%, 50 kW)","ev_perf_Superfast Charge (10%-80%, 350 kW)","ev_perf_Slow Charge (10%-80%, 10.5 kW)",ev_eng_Type,ev_eng_Front Power (kW),ev_eng_Rear Power (kW),ev_eng_Combined (kW),ev_eng_Front Power (HP),ev_eng_Rear Power (HP),ev_eng_Combined (HP),ev_eng_Front Torque (NM),ev_eng_Rear Torque (NM),ev_eng_Combined (NM),ev_bat_Type,ev_bat_Capacity (kWh),ev_bat_Power Output (kW),ev_bat_Voltage (V),ev_bat_Weight (kg),dim_Avg. Fuel Consumption (L/100km),dim_Rear Luggage Capacity VDA (L),dim_Front Luggage Capacity VDA (L),dim_Drag Coefficient (CD),dim_Luggage Capacity SAE (L) *Behind third row,ev_perf_Acceleration from 0 to 100 (Sec.),dim_Wheelbase (mm),dim_Height (Roof Rack) (mm),dim_Curb Weight (kg),dim_Tank Capacity (L),dim_Combined Fuel Efficiency (km/L),dim_Trunk Space (L)
I30 FB,"EGP 1,199,000","4,455","1,795","1,425","2,650",135,50,450,1.5 Turbo MHEV,"140 / 5,500","253 / 1,500-3,000",7 DCT,Up to 875 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELANTRA AD,"Price Starts From : 945,000","4,620","1,800","1,450","2,700",150,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i30 HB,"1,149,000","4,340","1,795","1,455","2,650",140,50,395,1.5 Turbo MHEV,"140 / 5,500","253 / 1,500-3,000",7 DCT,Up to 875 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IONIQ 5 N,"Price is EGP 3,750,000","4,715","1,940","1,585","3,000",,,,,,,,,,480,260,3.5 / 3.4 (N Grin Boost),448,1hr 10min,18min,7hr 35min,PMSM (Permanent Magnet Synchronous Motor),166 / 175 (N Grin Boost),282 / 303 (N Grin Boost),448 / 478 (N Grin Boost),223 / 235 (N Grin Boost),378.1 / 406.3 (N Grin Boost),650hp (N Grin Boost),350 / 370 (N Grin Boost),390 / 400 (N Grin Boost),740 / 770 (N Grin Boost),Lithium Ion,84,478,697,485.8,,,,,,,,,,,,
Staria,"Price is EGP 3,550,000","5,255","1,970","1,990","3,275",186,65,,,,,,,,117-431,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,
IONIQ 6,"Price Starts from: EGP 2,700,000","4,855","1,880","1,495","2,950",,,,,,,,,,,185,8.8,429,,,,,,,,,,,,,,Lithium Ion,53,173,480,347.5,,401,45,0.21,,,,,,,,
Santa Fe,"Price Starts From EGP 3,150,000","4,830","1,900","1,770","2,815",177,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,,,,,,,
IONIQ 5 FL,"Price Starts From: EGP 2,750,000","4,655","1,890","1,605","3,000",,,,,,,,,,520,185,,530,1hr 16min,18m,7hr 35min,,,,,,,,,,,Lithium Ion,84,277,697,476.2,,,,,,7.5,,,,,,
ELANTRA,"Price Starts From EGP 1,375,000",4675,1825,1430,,150,,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720,,,,,
TUCSON,"Price Starts From 1,650,000 EGP","4,510","1,865",,,170,,,,,,,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,680","1,650","1,466",54,6.1,
ACCENT RB,Price Starts From  779900 EGP,4370,1705,1455,2570,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
